sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	2^38	8388608	2369	4204783	4181456	4996	4989	4996
+	2^38	8388608	2369	4181456	4204783	4989	4996	4996
-	2^39	8388608	2369	4204783	4181456	4996	4989	4996
+	2^39	8388608	2369	4181456	4204783	4989	4996	4996
-	2^40	8388608	2369	4204783	4181456	4996	4989	4996
+	2^40	8388608	2369	4181456	4204783	4989	4996	4996
-	2^41	8388608	2369	4204783	4181456	4996	4989	4996
+	2^41	8388608	2369	4181456	4204783	4989	4996	4996
-	2^42	8388608	2369	4204783	4181456	4996	4989	4996
+	2^42	8388608	2369	4181456	4204783	4989	4996	4996
-	2^43	8388608	2369	4204783	4181456	4996	4989	4996
+	2^43	8388608	2369	4181456	4204783	4989	4996	4996
-	2^44	8388608	2369	4204783	4181456	4996	4989	4996
+	2^44	8388608	2369	4181456	4204783	4989	4996	4996
-	2^45	8388608	2369	4204783	4181456	4996	4989	4996
+	2^45	8388608	2369	4181456	4204783	4989	4996	4996
-	2^46	8388608	2369	4204783	4181456	4996	4989	4996
+	2^46	8388608	2369	4181456	4204783	4989	4996	4996
-	2^47	8388608	2369	4204783	4181456	4996	4989	4996
+	2^47	8388608	2369	4181456	4204783	4989	4996	4996
-	2^48	8388608	2369	4204783	4181456	4996	4989	4996
+	2^48	8388608	2369	4181456	4204783	4989	4996	4996
-	2^49	8388608	2369	4204783	4181456	4996	4989	4996
+	2^49	8388608	2369	4181456	4204783	4989	4996	4996
-	2^50	8388608	2369	4204783	4181456	4996	4989	4996
+	2^50	8388608	2369	4181456	4204783	4989	4996	4996
-	2^51	8388608	2369	4204783	4181456	4996	4989	4996
+	2^51	8388608	2369	4181456	4204783	4989	4996	4996
-	2^52	8388608	2369	4204783	4181456	4996	4989	4996
+	2^52	8388608	2369	4181456	4204783	4989	4996	4996
-	2^53	8388608	2369	4204783	4181456	4996	4989	4996
+	2^53	8388608	2369	4181456	4204783	4989	4996	4996
-	2^54	8388608	2369	4204783	4181456	4996	4989	4996
+	2^54	8388608	2369	4181456	4204783	4989	4996	4996
-	2^55	8388608	2369	4204783	4181456	4996	4989	4996
+	2^55	8388608	2369	4181456	4204783	4989	4996	4996
-	2^56	8388608	2369	4204783	4181456	4996	4989	4996
+	2^56	8388608	2369	4181456	4204783	4989	4996	4996
-	2^57	8388608	2369	4204783	4181456	4996	4989	4996
+	2^57	8388608	2369	4181456	4204783	4989	4996	4996
-	2^58	8388608	2369	4204783	4181456	4996	4989	4996
+	2^58	8388608	2369	4181456	4204783	4989	4996	4996
-	2^59	8388608	2369	4204783	4181456	4996	4989	4996
+	2^59	8388608	2369	4181456	4204783	4989	4996	4996
-	2^60	8388608	2369	4204783	4181456	4996	4989	4996
+	2^60	8388608	2369	4181456	4204783	4989	4996	4996
-	2^61	8388608	2369	4204783	4181456	4996	4989	4996
+	2^61	8388608	2369	4181456	4204783	4989	4996	4996
-	2^62	8388608	2369	4204783	4181456	4996	4989	4996
+	2^62	8388608	2369	4181456	4204783	4989	4996	4996
-	2^63	8388608	2369	4204783	4181456	4996	4989	4996
+	2^63	8388608	2369	4181456	4204783	4989	4996	4996
-	2^64	8388608	2369	4204783	4181456	4996	4989	4996
+	2^64	8388608	2369	4181456	4204783	4989	4996	4996
-	2^65	8388608	2369	4204783	4181456	4996	4989	4996
+	2^65	8388608	2369	4181456	4204783	4989	4996	4996
-	2^66	8388608	2369	4204783	4181456	4996	4989	4996
+	2^66	8388608	2369	4181456	4204783	4989	4996	4996
-	2^67	8388608	2369	4204783	4181456	4996	4989	4996
+	2^67	8388608	2369	4181456	4204783	4989	4996	4996
-	2^68	8388608	2369	4204783	4181456	4996	4989	4996
+	2^68	8388608	2369	4181456	4204783	4989	4996	4996
-	2^69	8388608	2369	4204783	4181456	4996	4989	4996
+	2^69	8388608	2369	4181456	4204783	4989	4996	4996
-	2^70	8388608	2369	4204783	4181456	4996	4989	4996
+	2^70	8388608	2369	4181456	4204783	4989	4996	4996
-	2^71	8388608	2369	4204783	4181456	4996	4989	4996
+	2^71	8388608	2369	4181456	4204783	4989	4996	4996
-	2^72	8388608	2369	4204783	4181456	4996	4989	4996
+	2^72	8388608	2369	4181456	4204783	4989	4996	4996
-	2^73	8388608	2369	4204783	4181456	4996	4989	4996
+	2^73	8388608	2369	4181456	4204783	4989	4996	4996
-	2^74	8388608	2369	4204783	4181456	4996	4989	4996
+	2^74	8388608	2369	4181456	4204783	4989	4996	4996
-	2^75	8388608	2369	4204783	4181456	4996	4989	4996
+	2^75	8388608	2369	4181456	4204783	4989	4996	4996
-	2^76	8388608	2369	4204783	4181456	4996	4989	4996
+	2^76	8388608	2369	4181456	4204783	4989	4996	4996
-	2^77	8388608	2369	4204783	4181456	4996	4989	4996
+	2^77	8388608	2369	4181456	4204783	4989	4996	4996
-	2^78	8388608	2369	4204783	4181456	4996	4989	4996
+	2^78	8388608	2369	4181456	4204783	4989	4996	4996
-	2^79	8388608	2369	4204783	4181456	4996	4989	4996
+	2^79	8388608	2369	4181456	4204783	4989	4996	4996
-	2^80	8388608	2369	4204783	4181456	4996	4989	4996
+	2^80	8388608	2369	4181456	4204783	4989	4996	4996
-	2^81	8388608	2369	4204783	4181456	4996	4989	4996
+	2^81	8388608	2369	4181456	4204783	4989	4996	4996
-	2^82	8388608	2369	4204783	4181456	4996	4989	4996
+	2^82	8388608	2369	4181456	4204783	4989	4996	4996
-	2^83	8388608	2369	4204783	4181456	4996	4989	4996
+	2^83	8388608	2369	4181456	4204783	4989	4996	4996
-	2^84	8388608	2369	4204783	4181456	4996	4989	4996
+	2^84	8388608	2369	4181456	4204783	4989	4996	4996
-	2^85	8388608	2369	4204783	4181456	4996	4989	4996
+	2^85	8388608	2369	4181456	4204783	4989	4996	4996
-	2^86	8388608	2369	4204783	4181456	4996	4989	4996
+	2^86	8388608	2369	4181456	4204783	4989	4996	4996
-	2^87	8388608	2369	4204783	4181456	4996	4989	4996
+	2^87	8388608	2369	4181456	4204783	4989	4996	4996
-	2^88	8388608	2369	4204783	4181456	4996	4989	4996
+	2^88	8388608	2369	4181456	4204783	4989	4996	4996
-	2^89	8388608	2369	4204783	4181456	4996	4989	4996
+	2^89	8388608	2369	4181456	4204783	4989	4996	4996
-	2^90	8388608	2369	4204783	4181456	4996	4989	4996
+	2^90	8388608	2369	4181456	4204783	4989	4996	4996
-	2^91	8388608	2369	4204783	4181456	4996	4989	4996
+	2^91	8388608	2369	4181456	4204783	4989	4996	4996
-	2^92	8388608	2369	4204783	4181456	4996	4989	4996
+	2^92	8388608	2369	4181456	4204783	4989	4996	4996
-	2^93	8388608	2369	4204783	4181456	4996	4989	4996
+	2^93	8388608	2369	4181456	4204783	4989	4996	4996
-	2^94	8388608	2369	4204783	4181456	4996	4989	4996
+	2^94	8388608	2369	4181456	4204783	4989	4996	4996
-	2^95	8388608	2369	4204783	4181456	4996	4989	4996
+	2^95	8388608	2369	4181456	4204783	4989	4996	4996
-	2^96	8388608	2369	4204783	4181456	4996	4989	4996
+	2^96	8388608	2369	4181456	4204783	4989	4996	4996
-	2^97	8388608	2369	4204783	4181456	4996	4989	4996
+	2^97	8388608	2369	4181456	4204783	4989	4996	4996
-	2^98	8388608	2369	4204783	4181456	4996	4989	4996
+	2^98	8388608	2369	4181456	4204783	4989	4996	4996
